"Start Date","End Date","Progress","Finished","Birthyear","Gender","ESL","Race","Country","State","Role","Work","Employed","Ann_Income","Edu_Level","Pol_Aff","Religion","Read","Read_SM","Make_SM","Open_Elem","How_Many_Days","Capacity","Vacc_Effec","Chart_Control1","Chart_Control2","Chart_Treat1","Chart_Treat2","Array_Control1","Array_Control2","Array_Control3","Array_Treat1","Array_Treat2","Array_Treat3"
"2021-03-31 20:37:52","2021-03-31 21:34:15",5,"True","1995","Cisgender Man","Yes","Non-Hispanic White","United States of America","New York","Other","Yes","Employed full time","$50,000 - $59,999","Bachelor's degree","Republican","Jewish","I buy physical books","Daily","Less than Weekly","Yes","Less than 5 weekdays","50%","Extremely effective: 95%","","","","Right","Right","","","","",""
"2021-03-31 20:34:44","2021-03-31 21:38:09",5,"True","1993","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Hawaii","Other","Yes","Student","$20,000 - $29,999","Advanced degree (Master's, Doctorate)","Other","Atheist or agnostic","I buy both","More than once a day","Less than Weekly","Yes","None","100%","Very effective: 90%","Right","","","","","","","Right","",""
"2021-03-31 20:33:33","2021-03-31 21:41:22",5,"True","1978","Cisgender Man","Yes","Non-Hispanic White","United States of America","Arkansas","Undergraduate Student","Yes","Employed part time","$20,000 - $29,999","Some college","Independent","Protestant","I buy both","Daily","Less than Weekly","Yes","Monday - Friday","100%","Very effective: 90%","Right","","","","","","Right","","",""
"2021-03-31 20:32:47","2021-03-31 21:41:28",5,"True","2000","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Other","Yes","Student","$10,000 - $19,999","Some college","Independent","Atheist or agnostic","I buy both","More than once a day","Less than Weekly","No","None","50%","Moderately effective: 85%","Right","","","","Right","","","","",""
"2021-03-31 20:36:36","2021-03-31 21:41:44",5,"True","1984","Cisgender Man","Yes","Non-Hispanic White","United States of America","Arizona","Other","Yes","Employed part time","Less than $10,000","Advanced degree (Master's, Doctorate)","Democrat","Protestant","I buy both","Less than Weekly","Less than Weekly","No","None","50%","Very effective: 90%","Right","","","","","","Right","","",""
"2021-03-31 20:31:33","2021-03-31 21:47:24",5,"True","1990","Cisgender Man","Yes","Non-Hispanic White","United States of America","Virginia","Undergraduate Student","Yes","Employed full time","$30,000 - $39,999","Bachelor's degree","Independent","Roman Catholic","I buy both","Daily","Less than Weekly","No","Less than 5 weekdays","25%","Very effective: 90%","Wrong","","","","","","","Right","",""
"2021-03-31 20:42:47","2021-03-31 21:58:08",5,"True","1997","Cisgender Woman","Yes","Hispanic or Latino","United States of America","California","Other","Yes","Employed part time","$10,000 - $19,999","Some college","Democrat","Roman Catholic","I don't purchase books","More than once a day","Daily","No","Less than 5 weekdays","25%","Moderately effective: 85%","Right","","","","","Wrong","","","",""
"2021-03-31 20:37:38","2021-03-31 21:59:23",5,"True","1992","Cisgender Woman","Yes","Other:","United States of America","Nevada","Other","Yes","Employed full time","$40,000 - $49,999","Bachelor's degree","Other","Prefer not to say","I buy ebooks","More than once a day","Daily","No","None","25%","Moderately effective: 85%","Right","","","","","","Right","","",""
"2021-03-31 20:53:38","2021-03-31 22:07:58",5,"True","1974","Cisgender Man","Yes","Non-Hispanic White","United States of America","California","Other","No","Unemployed looking for work","","Some college","Independent","Atheist or agnostic","I buy ebooks","Daily","Less than Weekly","Yes","Less than 5 weekdays","50%","Extremely effective: 95%","","","Right","","","","Right","","",""
"2021-03-31 20:31:36","2021-03-31 22:09:40",5,"True","1993","Cisgender Woman","No","Hispanic or Latino","United States of America","California","Other","Yes","Employed part time","$20,000 - $29,999","Bachelor's degree","Independent","Roman Catholic","I buy physical books","More than once a day","Weekly","No","Less than 5 weekdays","50%","Extremely effective: 95%","","Right","","","","Right","","","",""
"2021-03-31 21:08:28","2021-03-31 22:21:46",5,"True","1990","Cisgender Man","Yes","Asian","United States of America","California","Other","Yes","Employed full time","$70,000 - $79,999","Advanced degree (Master's, Doctorate)","Democrat","Atheist or agnostic","I buy both","More than once a day","Less than Weekly","No","None","50%","Very effective: 90%","","","Wrong","","","","","","","Right"
"2021-03-31 21:20:32","2021-03-31 22:24:20",5,"True","1982","Cisgender Woman","No","Asian","United States of America","California","Other","Yes","Unemployed looking for work","$60,000 - $69,999","Bachelor's degree","Independent","Protestant","I buy physical books","More than once a day","Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","Right","","","","","","","Right","",""
"2021-03-31 20:31:33","2021-03-31 22:27:51",5,"True","1984","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Missouri","Other","Yes","Employed part time","$10,000 - $19,999","Some college","Other","Other Christian:","I buy ebooks","More than once a day","Weekly","Yes","Monday - Friday","75%","Moderately effective: 85%","","","Right","","","","Right","","",""
"2021-03-31 21:26:17","2021-03-31 22:33:03",5,"True","1996","Cisgender Man","Yes","Non-Hispanic White","United States of America","Florida","Staff","Yes","Employed full time","$90,000 - $99,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy physical books","Less than Weekly","Weekly","Yes","Less than 5 weekdays","75%","Very effective: 90%","","","","Wrong","","","","","","Right"
"2021-03-31 20:33:56","2021-03-31 22:35:55",5,"True","1989","Cisgender Man","Yes","Non-Hispanic White","United Kingdom of Great Britain and Northern Ireland","","Graduate Student","Yes","Employed full time","$60,000 - $69,999","Bachelor's degree","Republican","Roman Catholic","I buy physical books","Weekly","Weekly","Yes","Less than 5 weekdays","75%","Very effective: 90%","","","Wrong","","","","","","","Right"
"2021-03-31 21:44:04","2021-03-31 22:48:59",5,"True","2000","Cisgender Man","Yes","Asian","United States of America","New Jersey","Undergraduate Student","Yes","Student","Less than $10,000","Some college","Democrat","Atheist or agnostic","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Extremely effective: 95%","Right","","","","","","","Right","",""
"2021-03-31 22:19:05","2021-03-31 22:59:13",5,"True","1993","Cisgender Man","Yes","Native American","United States of America","South Carolina","Staff","Yes","Employed part time","$10,000 - $19,999","Bachelor's degree","Republican","Roman Catholic","I buy physical books","Daily","Daily","Yes","Less than 5 weekdays","75%","Moderately effective: 85%","Wrong","","","","","","","","","Right"
"2021-03-31 22:18:37","2021-03-31 23:04:32",5,"True","1998","Cisgender Man","Yes","Non-Hispanic White","United States of America","Wisconsin","Graduate Student","Yes","Student","$30,000 - $39,999","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","Less than Weekly","Weekly","Yes","Less than 5 weekdays","75%","Extremely effective: 95%","Wrong","","","","Right","","","","",""
"2021-03-31 21:54:32","2021-03-31 23:12:18",5,"True","1996","Cisgender Woman","Yes","Black or African American","United States of America","Texas","Undergraduate Student","Yes","Student","Less than $10,000","Some college","Independent","Roman Catholic","I buy physical books","More than once a day","Less than Weekly","Yes","Less than 5 weekdays","25%","Extremely effective: 95%","","","","Right","","","","","Right",""
"2021-03-31 21:42:56","2021-03-31 23:17:21",5,"True","1975","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Washington","Other","Yes","Employed part time","$20,000 - $29,999","Some college","Democrat","Atheist or agnostic","I buy physical books","Weekly","Less than Weekly","No","None","25%","Moderately effective: 85%","Right","","","","Right","","","","",""
"2021-03-31 22:30:05","2021-03-31 23:17:23",5,"True","1996","Cisgender Woman","Yes","Non-Hispanic White","United States of America","New Jersey","Graduate Student","No","Employed full time","","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy ebooks","Weekly","Weekly","Yes","Less than 5 weekdays","75%","Extremely effective: 95%","","","Wrong","","","","","","","Right"
"2021-03-31 20:32:08","2021-03-31 23:24:37",5,"True","1978","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Other","Yes","Employed full time","Less than $10,000","Advanced degree (Master's, Doctorate)","Democrat","Other Christian:","I buy both","Weekly","Less than Weekly","No","None","25%","Very effective: 90%","Right","","","","","","","","","Right"
"2021-03-31 21:39:17","2021-03-31 23:50:41",5,"True","54","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Illinois","Other","Yes","Employed full time","$50,000 - $59,999","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","Daily","Weekly","No","Monday - Friday","50%","Very effective: 90%","","","","","","","","Right","",""
"2021-03-31 21:42:45","2021-03-31 23:54:03",5,"True","1990","Cisgender Man","Yes","Non-Hispanic White","United States of America","Minnesota","Graduate Student","Yes","Employed full time","$50,000 - $59,999","Bachelor's degree","Democrat","Roman Catholic","I buy both","More than once a day","Daily","No","Less than 5 weekdays","50%","Moderately effective: 85%","","Wrong","","","","","Right","","",""
"2021-03-31 23:20:13","2021-04-01 00:19:09",5,"True","1989","Transgender Man","Yes","Non-Hispanic White","United States of America","Colorado","Other","Yes","Employed full time","$20,000 - $29,999","No college","Socialist","Other:","I buy physical books","More than once a day","Daily","No","None","50%","Moderately effective: 85%","Right","","","","","","","Right","",""
"2021-03-31 23:16:37","2021-04-01 00:21:55",5,"True","1995","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Texas","Staff","No","Employed full time","","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy both","Weekly","Less than Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","","","","Wrong","Right","","","","",""
"2021-03-31 22:55:07","2021-04-01 00:33:35",5,"True","1997","Cisgender Woman","Yes","Black or African American","United States of America","New Jersey","Other","Yes","Employed full time","$10,000 - $19,999","Bachelor's degree","Prefer not to say","Other Christian:","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Moderately effective: 85%","Right","","","","Wrong","","","","",""
"2021-04-01 00:08:29","2021-04-01 00:55:07",5,"True","1989","Cisgender Man","Yes","Non-Hispanic White","United Kingdom of Great Britain and Northern Ireland","","Undergraduate Student","Yes","Employed full time","$50,000 - $59,999","Advanced degree (Master's, Doctorate)","Republican","Roman Catholic","I buy physical books","Weekly","Daily","Yes","Less than 5 weekdays","75%","Very effective: 90%","Right","","","","","Right","","","",""
"2021-03-31 23:59:47","2021-04-01 01:29:39",5,"True","1996","Cisgender Man","Yes","Hispanic or Latino","United States of America","Arizona","Undergraduate Student","Yes","Employed part time","$20,000 - $29,999","Some college","Republican","Other Christian:","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Moderately effective: 85%","","","Right","","","","","","","Right"
